RecordedDate,QID1,Q2,Q26,Q4,Q3,Q3_7_TEXT,Q8,Q9,Q10,Q10_5_TEXT,Q13,Q15_1,Q16,Q17,Q17_5_TEXT,Q20,Q20_3_TEXT,Q29,Q32,Q32_6_TEXT,Q34,Q34_5_TEXT,Q33
Recorded Date,What is your gender?,What is your age group?,Employment Sector,"On average, how often do you change your (non-business) passwords?",What techniques do you use to remember your passwords? - Selected Choice,What techniques do you use to remember your passwords? - Other - Text,Do you reuse the same password on multiple websites?,How many different passwords do you have?,Which factors are you considering when defining a password? - Selected Choice,Which factors are you considering when defining a password? - Other - Text,Password Length (Characters),How strong would you rate your passwords in general? - Password Strength,"Have your passwords ever been compromised?

* In case you don't know. I would recommend using haveibeenpwned.com/Passwords",How did your password get compromised? - Selected Choice,How did your password get compromised? - Other - Text,What did you do against it? - Selected Choice,What did you do against it? - Other - Text,Are you using one of the following authentication methodologies?,What is the reason to choose this method of authentication over another? - Selected Choice,What is the reason to choose this method of authentication over another? - Other - Text,What is the reason for not using one of the cited authentication methodologies? - Selected Choice,What is the reason for not using one of the cited authentication methodologies? - Other - Text,Would you be interested in learning more about the different authentication methodologies?
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID30""}","{""ImportId"":""QID4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_5_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_3_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_6_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID38_5_TEXT""}","{""ImportId"":""QID37""}"
2022-04-28 08:39:41,Male,18 - 25,Computing or IT,Once every 6 months,Mnemonic technique,,Often,7 - 10,Strength & Security,,11 - 13,7,Yes,Phishing (Website/Email),,I changed my authentication methodology,,"Passphrases,Password Manager,Two-Factor Authentication","Superior Security,Compatibility (Android, Apple, Windows..)",,,,Yes
2022-04-28 08:52:29,Male,26 - 40,Computing or IT,Once a year,Memorization,,Never,4 - 6,Strength & Security,,11 - 13,8,No,,,,,Two-Factor Authentication,Superior Security,,,,No
2022-04-28 08:55:18,Male,18 - 25,Computing or IT,Once every 6 months,Memorization,,Always,7 - 10,Strength & Security,,11 - 13,7,Yes,Phishing (Website/Email),,I changed it with a better password,,,,,Lack of familiarity,,No
2022-04-28 08:56:37,Male,40 - 65,Energy and utilities,Once a year,Password Managers,,Often,7 - 10,Ease of memorization,,8 - 10,9,No,,,,,Two-Factor Authentication,Superior Security,,,,No
2022-04-28 09:11:38,Female,18 - 25,Computing or IT,More than once a year,Password Managers,,Never,10+,"Site requirements,Strength & Security",,16+,9,Yes,Data breach,,I changed it with a better password,,"Password Manager,Two-Factor Authentication,Biometric Authentication","Superior Security,Simplicity,Compatibility (Android, Apple, Windows..)",,,,Yes
2022-04-28 09:45:41,Male,26 - 40,Computing or IT,Once a year,Document on my computer,,Always,4 - 6,Strength & Security,,11 - 13,8,Yes,Data breach,,I changed it with a better password,,Two-Factor Authentication,Superior Security,,,,Yes
2022-04-28 09:47:50,Female,40 - 65,Public services or administration,Once a year,Password Managers,,Never,4 - 6,Ease of memorization,,8 - 10,7,No,,,,,"Password Manager,Two-Factor Authentication",Superior Security,,,,No
2022-04-28 09:48:13,Male,18 - 25,Student,Never,Memorization,,Always,4 - 6,"Site requirements,Ease of memorization,Strength & Security",,8 - 10,8,No,,,,,"Two-Factor Authentication,Biometric Authentication",Simplicity,,,,No
2022-04-28 09:50:27,Male,18 - 25,Hospitality or events,Once every 6 months,Memorization,,Often,4 - 6,Site requirements,,11 - 13,8,No,,,,,Two-Factor Authentication,Superior Security,,,,Yes
